strategy,scenario_family,coordination_mode,target_behavior,drone_count,battery_budget,sensor_mode,success_rate,success_std,mean_time_to_detection,std_time_to_detection,mean_overlap_ratio,std_overlap_ratio,mean_path_efficiency,mean_entropy_reduction,mean_confirmed_detection_time,mean_coordination_efficiency
auction_based,layered_demo,centralized,stationary_intervals,4,80.0,thermal_visual,0.0,,45.0,,0.952567760342368,,0.7794902040669796,1.4284687130752012,,0.48893351113316386
auction_based,layered_demo,centralized,stationary_intervals,4,120.0,thermal_visual,0.0,,45.0,,0.9520893371757925,,0.7770414344574749,1.113154494439745,,0.4891727227164515
auction_based,layered_demo,centralized,terrain_biased,4,80.0,thermal_visual,1.0,,5.0,,0.75,,0.9738423234817372,0.7792712521631362,5.0,0.305952380952381
auction_based,layered_demo,centralized,terrain_biased,4,120.0,thermal_visual,1.0,,5.0,,0.75,,0.9738423234817372,0.7792712521631362,5.0,0.305952380952381
auction_based,layered_demo,decentralized,stationary_intervals,4,80.0,thermal_visual,1.0,,7.0,,0.7981818181818182,,0.9455967761178943,0.8792114022431523,7.0,0.3354955570745044
auction_based,layered_demo,decentralized,stationary_intervals,4,120.0,thermal_visual,1.0,,7.0,,0.7981818181818182,,0.9455967761178943,0.8792114022431523,7.0,0.3354955570745044
auction_based,layered_demo,decentralized,terrain_biased,4,80.0,thermal_visual,1.0,,11.0,,0.8544600938967136,,0.8777743494660385,1.5100281390491714,11.0,0.4051007801193124
auction_based,layered_demo,decentralized,terrain_biased,4,120.0,thermal_visual,1.0,,11.0,,0.8544600938967136,,0.8777743494660385,1.5100281390491714,11.0,0.4051007801193124
auction_based,open_terrain,centralized,stationary_intervals,4,80.0,thermal_visual,0.0,,45.0,,0.9359937807722207,,1.246598639455782,1.616513565502438,,0.43200310961388966
auction_based,open_terrain,centralized,stationary_intervals,4,120.0,thermal_visual,0.0,,45.0,,0.9384039900249377,,1.263005287395531,1.7272223497968522,,0.4307980049875312
auction_based,open_terrain,centralized,terrain_biased,4,80.0,thermal_visual,1.0,,5.0,,0.7295238095238096,,1.409168081494058,0.48062968379300397,5.0,0.11013688066319641
auction_based,open_terrain,centralized,terrain_biased,4,120.0,thermal_visual,1.0,,5.0,,0.7295238095238096,,1.409168081494058,0.48062968379300397,5.0,0.11013688066319641
auction_based,open_terrain,decentralized,stationary_intervals,4,80.0,thermal_visual,1.0,,4.0,,0.6885245901639344,,1.3793103448275863,0.5359114198417378,4.0,0.09419924337957122
auction_based,open_terrain,decentralized,stationary_intervals,4,120.0,thermal_visual,1.0,,4.0,,0.6885245901639344,,1.3793103448275863,0.5359114198417378,4.0,0.09419924337957122
auction_based,open_terrain,decentralized,terrain_biased,4,80.0,thermal_visual,1.0,,5.0,,0.7365491651205937,,1.3381410256410258,0.4792831471217225,5.0,0.12329086953147103
auction_based,open_terrain,decentralized,terrain_biased,4,120.0,thermal_visual,1.0,,5.0,,0.7365491651205937,,1.3381410256410258,0.4792831471217225,5.0,0.12329086953147103
information_gain,layered_demo,centralized,stationary_intervals,4,80.0,thermal_visual,0.0,,45.0,,0.9549457994579946,,0.8325975487541099,1.4978382569839113,,0.4942662307057853
information_gain,layered_demo,centralized,stationary_intervals,4,120.0,thermal_visual,0.0,,45.0,,0.9520720720720721,,0.8647554200918323,0.7877819186915875,,0.4978770074422248
information_gain,layered_demo,centralized,terrain_biased,4,80.0,thermal_visual,1.0,,5.0,,0.7526041666666666,,0.9762709335088876,0.7759432524914462,5.0,0.3213169642857143
information_gain,layered_demo,centralized,terrain_biased,4,120.0,thermal_visual,1.0,,5.0,,0.7526041666666666,,0.9762709335088876,0.7759432524914462,5.0,0.3213169642857143
information_gain,layered_demo,decentralized,stationary_intervals,4,80.0,thermal_visual,1.0,,44.0,,0.9573991031390134,,0.861834849952499,2.0353681933449037,44.0,0.45018933731938215
information_gain,layered_demo,decentralized,stationary_intervals,4,120.0,thermal_visual,1.0,,31.0,,0.9398190045248869,,0.9047681013676766,1.8155238086426095,31.0,0.4488404977375566
information_gain,layered_demo,decentralized,terrain_biased,4,80.0,thermal_visual,1.0,,10.0,,0.8400520156046815,,0.9141019560192449,0.8661762226848371,10.0,0.4047860222728473
information_gain,layered_demo,decentralized,terrain_biased,4,120.0,thermal_visual,1.0,,9.0,,0.8505586592178771,,0.9465378586828952,0.7915470454445774,9.0,0.2792319485865502
information_gain,open_terrain,centralized,stationary_intervals,4,80.0,thermal_visual,1.0,,10.0,,0.8129092609915809,,1.3250944043940955,1.051061663107558,10.0,0.30326196869449296
information_gain,open_terrain,centralized,stationary_intervals,4,120.0,thermal_visual,1.0,,10.0,,0.813953488372093,,1.3319601785101272,1.0699143968439442,10.0,0.30273985500423684
information_gain,open_terrain,centralized,terrain_biased,4,80.0,thermal_visual,1.0,,5.0,,0.7305502846299811,,1.3552631578947365,0.4724509882012047,5.0,0.12629030977677733
information_gain,open_terrain,centralized,terrain_biased,4,120.0,thermal_visual,1.0,,5.0,,0.7305502846299811,,1.3552631578947365,0.4724509882012047,5.0,0.12629030977677733
information_gain,open_terrain,decentralized,stationary_intervals,4,80.0,thermal_visual,1.0,,4.0,,0.6960556844547564,,1.350078492935636,0.50257508676503,4.0,0.08233653024225743
information_gain,open_terrain,decentralized,stationary_intervals,4,120.0,thermal_visual,1.0,,4.0,,0.6960556844547564,,1.350078492935636,0.50257508676503,4.0,0.08233653024225743
information_gain,open_terrain,decentralized,terrain_biased,4,80.0,thermal_visual,1.0,,24.0,,0.9075697211155378,,1.3056191202644296,1.2279621760349206,24.0,0.4054863945029598
information_gain,open_terrain,decentralized,terrain_biased,4,120.0,thermal_visual,1.0,,24.0,,0.9075697211155378,,1.3087674714104198,1.2279621760349206,24.0,0.4054863945029598
probability_greedy,layered_demo,centralized,stationary_intervals,4,80.0,thermal_visual,1.0,,7.0,,0.7956349206349206,,0.991297400009802,0.9992355919048901,7.0,0.3516186299081036
probability_greedy,layered_demo,centralized,stationary_intervals,4,120.0,thermal_visual,1.0,,7.0,,0.7956349206349206,,0.991297400009802,0.9992355919048901,7.0,0.3516186299081036
probability_greedy,layered_demo,centralized,terrain_biased,4,80.0,thermal_visual,1.0,,10.0,,0.845222072678331,,0.9510369569938086,1.2973702120337798,10.0,0.39659607234162725
probability_greedy,layered_demo,centralized,terrain_biased,4,120.0,thermal_visual,1.0,,10.0,,0.845222072678331,,0.9510369569938086,1.2973702120337798,10.0,0.39659607234162725
probability_greedy,layered_demo,decentralized,stationary_intervals,4,80.0,thermal_visual,1.0,,7.0,,0.7996389891696751,,0.9366112958308178,1.0169220990137013,7.0,0.334766971580576
probability_greedy,layered_demo,decentralized,stationary_intervals,4,120.0,thermal_visual,1.0,,7.0,,0.7996389891696751,,0.9366112958308178,1.0169220990137013,7.0,0.334766971580576
probability_greedy,layered_demo,decentralized,terrain_biased,4,80.0,thermal_visual,0.0,,45.0,,0.9501872659176029,,0.8552504209221077,2.171783234334657,,0.42490636704119855
probability_greedy,layered_demo,decentralized,terrain_biased,4,120.0,thermal_visual,0.0,,45.0,,0.9503175196115055,,0.8568351544811077,1.6383891748575978,,0.4248412401942473
probability_greedy,open_terrain,centralized,stationary_intervals,4,80.0,thermal_visual,1.0,,26.0,,0.9,,1.3284306055390394,2.9518213705812704,26.0,0.45000000000000007
probability_greedy,open_terrain,centralized,stationary_intervals,4,120.0,thermal_visual,1.0,,26.0,,0.9,,1.3284306055390394,2.9518213705812704,26.0,0.45000000000000007
probability_greedy,open_terrain,centralized,terrain_biased,4,80.0,thermal_visual,1.0,,6.0,,0.7583465818759937,,1.4645669291338583,0.5236354751418295,6.0,0.15049703873233286
probability_greedy,open_terrain,centralized,terrain_biased,4,120.0,thermal_visual,1.0,,6.0,,0.7583465818759937,,1.4645669291338583,0.5236354751418295,6.0,0.15049703873233286
probability_greedy,open_terrain,decentralized,stationary_intervals,4,80.0,thermal_visual,1.0,,9.0,,0.7933194154488518,,1.3253612356751372,0.6604075203943767,9.0,0.3149597254739547
probability_greedy,open_terrain,decentralized,stationary_intervals,4,120.0,thermal_visual,1.0,,9.0,,0.7933194154488518,,1.3253612356751372,0.6604075203943767,9.0,0.3149597254739547
probability_greedy,open_terrain,decentralized,terrain_biased,4,80.0,thermal_visual,0.0,,45.0,,0.9405392392874338,,1.243124312431243,2.280580771858955,,0.4297303803562832
probability_greedy,open_terrain,decentralized,terrain_biased,4,120.0,thermal_visual,0.0,,45.0,,0.9399902818270165,,1.2177045805455484,2.614581887138187,,0.4300048590864918
random_sweep,layered_demo,centralized,stationary_intervals,4,80.0,thermal_visual,1.0,,8.0,,0.79491833030853,,0.8309950882314513,1.347439764674908,8.0,0.44105378388499994
random_sweep,layered_demo,centralized,stationary_intervals,4,120.0,thermal_visual,1.0,,8.0,,0.79491833030853,,0.8309950882314513,1.347439764674908,8.0,0.44105378388499994
random_sweep,layered_demo,centralized,terrain_biased,4,80.0,thermal_visual,1.0,,13.0,,0.8568281938325991,,0.8452460946166127,2.7634292821616038,13.0,0.513315226391971
random_sweep,layered_demo,centralized,terrain_biased,4,120.0,thermal_visual,1.0,,13.0,,0.8568281938325991,,0.8452460946166127,2.7634292821616038,13.0,0.513315226391971
random_sweep,layered_demo,decentralized,stationary_intervals,4,80.0,thermal_visual,1.0,,41.0,,0.9546229955646537,,0.8666429146866165,1.87958688275305,41.0,0.43221231174148267
random_sweep,layered_demo,decentralized,stationary_intervals,4,120.0,thermal_visual,0.0,,45.0,,0.9590895109197171,,0.8593115662516567,2.2724539823437717,,0.42697698367057624
random_sweep,layered_demo,decentralized,terrain_biased,4,80.0,thermal_visual,1.0,,12.0,,0.8480278422273781,,0.8905831759351579,2.3104270795551347,12.0,0.46094848490134854
random_sweep,layered_demo,decentralized,terrain_biased,4,120.0,thermal_visual,1.0,,12.0,,0.8480278422273781,,0.8905831759351579,2.3104270795551347,12.0,0.46094848490134854
random_sweep,open_terrain,centralized,stationary_intervals,4,80.0,thermal_visual,1.0,,14.0,,0.8441558441558441,,1.2938230383973293,1.4540366765910093,14.0,0.35241600504758397
random_sweep,open_terrain,centralized,stationary_intervals,4,120.0,thermal_visual,1.0,,14.0,,0.8441558441558441,,1.2938230383973293,1.4540366765910093,14.0,0.35241600504758397
random_sweep,open_terrain,centralized,terrain_biased,4,80.0,thermal_visual,0.0,,45.0,,0.9419779187221048,,1.2503493897326003,2.3377975540245926,,0.4290110406389477
random_sweep,open_terrain,centralized,terrain_biased,4,120.0,thermal_visual,0.0,,45.0,,0.9419915453264444,,1.2552934059286147,3.3734706206112035,,0.4290042273367779
random_sweep,open_terrain,decentralized,stationary_intervals,4,80.0,thermal_visual,1.0,,7.0,,0.692063492063492,,1.14300903774588,0.9154926163313037,7.0,0.339393355182829
random_sweep,open_terrain,decentralized,stationary_intervals,4,120.0,thermal_visual,1.0,,7.0,,0.692063492063492,,1.14300903774588,0.9154926163313037,7.0,0.339393355182829
random_sweep,open_terrain,decentralized,terrain_biased,4,80.0,thermal_visual,0.0,,45.0,,0.9440527632476688,,1.2838283828382844,2.291411882160606,,0.4282728614671706
random_sweep,open_terrain,decentralized,terrain_biased,4,120.0,thermal_visual,0.0,,45.0,,0.9448660714285714,,1.2638329979879286,2.0907888969911443,,0.4275669642857144
sector_search,layered_demo,centralized,stationary_intervals,4,80.0,thermal_visual,0.0,,45.0,,0.952054794520548,,0.7623992114902164,2.0169368665766503,,0.473972602739726
sector_search,layered_demo,centralized,stationary_intervals,4,120.0,thermal_visual,1.0,,33.0,,0.9347719470328593,,0.6812793000871855,1.9103923329858423,33.0,0.4708493206012174
sector_search,layered_demo,centralized,terrain_biased,4,80.0,thermal_visual,1.0,,14.0,,0.8765571913929785,,0.5566541321005231,1.3830900688172472,14.0,0.3546036098172952
sector_search,layered_demo,centralized,terrain_biased,4,120.0,thermal_visual,1.0,,14.0,,0.8765571913929785,,0.5566541321005231,1.3830900688172472,14.0,0.3546036098172952
sector_search,layered_demo,decentralized,stationary_intervals,4,80.0,thermal_visual,1.0,,29.0,,0.9294429708222812,,0.6771536600243535,1.4618205541622702,29.0,0.46527851458885944
sector_search,layered_demo,decentralized,stationary_intervals,4,120.0,thermal_visual,1.0,,29.0,,0.9294429708222812,,0.6771536600243535,1.4618205541622702,29.0,0.46527851458885944
sector_search,layered_demo,decentralized,terrain_biased,4,80.0,thermal_visual,1.0,,21.0,,0.9048640915593705,,0.5932386645063656,2.8394279933416837,21.0,0.483931590583951
sector_search,layered_demo,decentralized,terrain_biased,4,120.0,thermal_visual,1.0,,21.0,,0.9048640915593705,,0.5932386645063656,2.8394279933416837,21.0,0.483931590583951
sector_search,open_terrain,centralized,stationary_intervals,4,80.0,thermal_visual,0.0,,45.0,,0.9404008438818565,,1.0429309957293778,2.1450724999848267,,0.3686923786223528
sector_search,open_terrain,centralized,stationary_intervals,4,120.0,thermal_visual,0.0,,45.0,,0.9402253797158255,,0.8685162846803375,3.4050696777761496,,0.417741561154233
sector_search,open_terrain,centralized,terrain_biased,4,80.0,thermal_visual,0.0,,45.0,,0.9404008438818565,,1.0429309957293778,2.1258441870298688,,0.3513010742745267
sector_search,open_terrain,centralized,terrain_biased,4,120.0,thermal_visual,0.0,,45.0,,0.9402253797158255,,0.8685162846803375,3.3510221260001583,,0.417741561154233
sector_search,open_terrain,decentralized,stationary_intervals,4,80.0,thermal_visual,0.0,,45.0,,0.9404008438818565,,1.0429309957293778,1.4695279400683834,,0.344779335144092
sector_search,open_terrain,decentralized,stationary_intervals,4,120.0,thermal_visual,0.0,,45.0,,0.9402253797158255,,0.8685162846803375,3.5771308974516156,,0.417741561154233
sector_search,open_terrain,decentralized,terrain_biased,4,80.0,thermal_visual,0.0,,45.0,,0.9404008438818565,,1.0429309957293778,1.4288806500475788,,0.344779335144092
sector_search,open_terrain,decentralized,terrain_biased,4,120.0,thermal_visual,0.0,,45.0,,0.9402253797158255,,0.8685162846803375,3.435526008009167,,0.417741561154233
